ID,name,source ref,source type,mapping type,target_ID,target name,target ref,target type,STIX ID,created,last modified
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1550.002,Pass the Hash,attack-pattern--e624264c-033a-424d-9fd7-fc9c3bbdb03e,technique,relationship--3b35fec9-ee0d-4c2d-9936-0aa06ad6a49a,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1057,Process Discovery,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,technique,relationship--38416e2a-3590-4827-9a6f-d8f1df6568af,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1021.001,Remote Desktop Protocol,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf,technique,relationship--fc2ffb01-2c4e-429d-b4fd-e0d20678504a,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1114.002,Remote Email Collection,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a,technique,relationship--4eb5fba5-be97-4103-9b52-f77e02765fad,17 March 2020,17 March 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,relationship--de4ae50a-0561-4d01-885a-eab60008d5eb,14 October 2020,14 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1566.002,Spearphishing Link,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,technique,relationship--5bc68652-1d99-4782-80bd-086fc7f8358c,14 October 2020,14 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1016,System Network Configuration Discovery,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,technique,relationship--635c959b-acf4-464a-a240-f299f5fea753,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1049,System Network Connections Discovery,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,technique,relationship--886942af-c1e9-49e9-af7e-98d1899f3000,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1007,System Service Discovery,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,technique,relationship--f9c7127d-2a27-4dcf-bef5-9150a6c4334d,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1588.002,Tool,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,technique,relationship--f55814a0-9e57-4bf3-bc40-21e7d3fca230,26 May 2021,26 May 2021
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1059.003,Windows Command Shell,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,technique,relationship--ea40711b-461d-4629-b1fd-5f020b1f3257,31 May 2017,17 March 2020
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1102.002,Bidirectional Communication,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,technique,relationship--5a49400c-2003-463c-8e6e-97b79f560675,10 June 2019,20 March 2020
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1568.003,DNS Calculation,attack-pattern--83a766f8-1501-4b3a-a2de-2e2849e8dfc1,technique,relationship--66647c20-2d76-4711-9eee-07d932e75851,27 March 2020,27 March 2020
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1203,Exploitation for Client Execution,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,technique,relationship--75b6869c-dd4e-44ec-8614-97fe792e9dd6,07 June 2019,10 June 2019
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1204.002,Malicious File,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,technique,relationship--0c9b6c09-8fc9-42c7-bfd7-316e9bbfa271,07 June 2019,12 March 2020
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,relationship--8126e72d-1be0-4237-b9c9-33045be072c3,07 June 2019,10 June 2019
G0023,APT16,intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,group,uses,T1584.004,Server,attack-pattern--e196b5c5-8118-4a1c-ab8a-936586ce3db5,technique,relationship--82bfe762-9468-458e-801a-13387a271521,12 October 2020,26 July 2022
G0025,APT17,intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,group,uses,T1585,Establish Accounts,attack-pattern--cdfc5f0a-9bb9-4352-b896-553cfa2d8fd8,technique,relationship--fd9834dc-0323-408b-b217-3f3aa27b50ac,13 October 2020,13 October 2020
G0025,APT17,intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,group,uses,T1583.006,Web Services,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,technique,relationship--41ca57db-9736-4adf-ac5d-ea2be2ab4860,13 October 2020,13 October 2020
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1053.002,At,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0,technique,relationship--67f19627-27a5-4898-bab5-7b235aa4ad77,31 May 2017,06 March 2020
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1071.004,DNS,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,technique,relationship--c1cf88bc-6229-4d62-86f5-36aa0e7bd21a,17 March 2020,17 March 2020
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1133,External Remote Services,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,technique,relationship--3b521f87-a77d-4c8d-8ab8-ffc6dbc3d62e,31 May 2017,16 June 2021
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1070.004,File Deletion,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,technique,relationship--6175bbbe-1bc1-4562-8c5f-9e437348636a,31 May 2017,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1083,File and Directory Discovery,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,technique,relationship--e3417dc3-f784-4306-8466-65a0067b63f1,30 January 2019,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1105,Ingress Tool Transfer,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,technique,relationship--882c68e3-5f01-4438-a430-ff22692d8910,30 January 2019,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1027,Obfuscated Files or Information,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,technique,relationship--23bd8e78-b20d-41bd-acfb-5ed356b327b2,30 January 2019,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1547.001,Registry Run Keys / Startup Folder,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,technique,relationship--e47f03aa-09b3-45a2-927d-b2cd96e7c444,30 January 2019,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1082,System Information Discovery,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,technique,relationship--c47e35e1-cf8a-4c2b-b63d-25b37a008226,30 January 2019,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1078,Valid Accounts,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,technique,relationship--1ac5bace-cdc2-4a1b-abad-d30ca0ed7f45,31 May 2017,16 June 2021
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1071.001,Web Protocols,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,technique,relationship--d7d7b5e5-aceb-473b-aeaa-f1287d8d0542,30 January 2019,17 March 2020
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,T1059.003,Windows Command Shell,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,technique,relationship--e453cf75-0df0-45e5-a5ce-e0984bf864f8,30 January 2019,17 March 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1027.010,Command Obfuscation,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377,technique,relationship--fd78292b-d484-4d08-baa4-f6b58bb63622,21 March 2023,21 March 2023
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1059,Command and Scripting Interpreter,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,technique,relationship--4f2e62d0-5345-45dc-9e9d-46bb11c5f35d,17 October 2018,17 March 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1574.002,DLL Side-Loading,attack-pattern--e64c62cf-9cd7-4a14-94ec-cdaac43ab44b,technique,relationship--f35a3ca7-b916-4bc2-a493-613196b5d41e,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1140,Deobfuscate/Decode Files or Information,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,technique,relationship--f84b2658-a891-45a8-93ff-14dc0a86df10,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1189,Drive-by Compromise,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,technique,relationship--478f7f77-6b6b-4949-ac87-f28419b5e2ab,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1564.003,Hidden Window,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0,technique,relationship--2e6e8722-d09d-402e-9ea8-ccf8412339d0,10 October 2019,19 April 2022
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1204.002,Malicious File,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,technique,relationship--b033e131-e448-46c6-815b-b86e4bd6d638,17 October 2018,12 March 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1112,Modify Registry,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,technique,relationship--45f35ec0-73a8-42a6-b879-d800d27211c8,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1027,Obfuscated Files or Information,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,technique,relationship--59cccc5a-f6f9-4a2f-aa74-2b7235b1855c,17 October 2018,21 March 2023
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1059.001,PowerShell,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,technique,relationship--1219cbd2-26b8-4a2e-bbf1-477afc396203,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1547.001,Registry Run Keys / Startup Folder,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,technique,relationship--04558d61-aa04-46b5-a65f-921011ac9621,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1218.010,Regsvr32,attack-pattern--b97f1d35-4249-4486-a6b5-ee60ccf24fab,technique,relationship--f832e042-6859-4415-9b6c-4e093dc955ec,17 October 2018,20 June 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1218.011,Rundll32,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,technique,relationship--3bcfc38f-5fe8-4c66-8352-d3ba71c4f3ec,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,relationship--818b440b-075d-483d-83ff-9991a78e25f4,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1132.001,Standard Encoding,attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,technique,relationship--d1b46f3e-b25c-43c0-9ab2-ef6e5ff8270c,17 October 2018,20 March 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1082,System Information Discovery,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,technique,relationship--c3d9182c-178b-4d8d-91d8-f4d1313738bb,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1016,System Network Configuration Discovery,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,technique,relationship--322703cc-c8f9-4046-8a61-e165a2d11bc7,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1033,System Owner/User Discovery,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,technique,relationship--331ebf73-af72-4121-815a-d10392ac75ab,17 October 2018,25 April 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1588.002,Tool,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,technique,relationship--e6b509c8-0e00-48ac-b76d-f42d18a0ae51,26 May 2021,26 May 2021
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1071.001,Web Protocols,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,technique,relationship--4a6c44ec-a1de-4fbc-88ef-d3003137a2fc,17 October 2018,17 March 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,T1543.003,Windows Service,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,technique,relationship--4999a323-b025-4a1d-8c80-5ae36b2f5a0d,17 October 2018,25 April 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1098.002,Additional Email Delegate Permissions,attack-pattern--e74de37c-a829-446c-937d-56a44f0e9306,technique,relationship--c75b8dfa-5980-4686-9d74-b0c92ce60274,27 July 2021,31 August 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1550.001,Application Access Token,attack-pattern--f005e783-57d4-4837-88ad-dbe7faee1c51,technique,relationship--ae0b56df-e692-4210-85e4-8ded095cdbc3,04 October 2019,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1560,Archive Collected Data,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,technique,relationship--63ee7d80-372e-4841-87a4-825cb5dd7058,17 October 2018,30 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1560.001,Archive via Utility,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,technique,relationship--90bb9179-c20a-4223-a177-731f015052aa,27 July 2021,31 August 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1119,Automated Collection,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619,technique,relationship--715d1910-181b-47a8-9b3c-86cba51b8ba4,17 October 2018,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1102.002,Bidirectional Communication,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,technique,relationship--da759124-8047-4b58-b7d4-fa9300cb4ce1,13 January 2021,19 April 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1542.003,Bootkit,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,technique,relationship--9e90e4a5-844c-4516-9044-6f35bbf27806,31 May 2017,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1110,Brute Force,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,technique,relationship--fb719ee1-0be9-41c5-bb52-56c033091e99,13 January 2021,24 March 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1070.001,Clear Windows Event Logs,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2,technique,relationship--4b8d211d-4969-4c0f-8b01-fd176c8172d1,31 May 2017,18 February 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1078.004,Cloud Accounts,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,technique,relationship--72f52cf0-dc68-4a4b-8025-724b2691c449,26 July 2021,26 July 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1092,Communication Through Removable Media,attack-pattern--64196062-5210-42c3-9a02-563a0d1797ef,technique,relationship--c569059f-8a7d-4777-a111-d3ab62d178ca,31 May 2017,20 December 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1546.015,Component Object Model Hijacking,attack-pattern--bc0f5e80-91c0-4e04-9fbb-e4e332c85dae,technique,relationship--54d3eadf-0363-47d1-b51d-a16d6a99c42e,31 May 2017,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1589.001,Credentials,attack-pattern--bc76d0a4-db11-4551-9ac4-01a469cfb161,technique,relationship--05f6442b-1ba8-4356-9e3a-17edc6236a10,24 March 2021,24 March 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1030,Data Transfer Size Limits,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd,technique,relationship--b4c27a33-0669-4b10-a801-eb81e3563260,27 July 2021,27 July 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1213,Data from Information Repositories,attack-pattern--d28ef391-8ed4-45dc-bc4a-2f43abf54416,technique,relationship--8d07ed87-6692-4010-8c94-c12cbf3885ca,27 July 2021,27 July 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1005,Data from Local System,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,technique,relationship--73e0604a-2509-43a6-9318-a9494e570363,18 April 2018,27 July 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1039,Data from Network Shared Drive,attack-pattern--ae676644-d2d2-41b7-af7e-9bed1b55898c,technique,relationship--41fd6ebb-4262-40f8-842e-ff583ff01500,27 July 2021,27 July 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1025,Data from Removable Media,attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,technique,relationship--78e8d9e6-48b7-473f-af94-43f626de7931,31 May 2017,20 December 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1140,Deobfuscate/Decode Files or Information,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,technique,relationship--921c2a85-eab7-4cfc-9ac5-98a463262c17,18 April 2018,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1583.001,Domains,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,technique,relationship--0d1605a9-9a62-401d-af07-84b481bddb66,02 October 2020,26 March 2023
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1189,Drive-by Compromise,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,technique,relationship--51fcdcd6-9c5a-425a-ab87-92d4faeb2ea4,28 February 2022,14 April 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1559.002,Dynamic Data Exchange,attack-pattern--232a7e42-cd6e-4902-8fe9-2960f529dd4d,technique,relationship--69f57458-bfb2-44a2-a8cf-0fce0e2b0a22,16 January 2018,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,T1586.002,Email Accounts,attack-pattern--3dc8c101-d4db-4f4d-8150-1b5a76ca5f1b,technique,relationship--1b44ae9f-29b7-45e0-9396-a84899e73a3b,16 March 2022,14 April 2022
