ID,name,source_ref,source_type,mapping_type,target_ID,target_name,target ref,target_type,mapping description,STIX ID,created,last modified
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0029,PsExec,tool--ff6caf67-ea1f-4895-b80e-4bb0fc31c6db,software,(Citation: Mandiant APT1),relationship--2d0afb20-dfbd-4f6b-bd75-ee67d8eeb8c6,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0345,Seasalt,malware--b45747dc-87ca-4597-a245-7e16a61bc491,software,(Citation: Mandiant APT1 Appendix)(Citation: McAfee Oceansalt Oct 2018),relationship--0e6d6b87-84fe-49ed-9b85-cf3cdfa36820,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0057,Tasklist,tool--2e45723a-31da-4a7e-aaa6-e01998a6788f,software,(Citation: Mandiant APT1),relationship--79cd2ec8-068c-4a7a-8133-1855381d3bd3,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0109,WEBC2,malware--1d808f62-cf63-4063-9727-ff6132514c22,software,(Citation: Mandiant APT1),relationship--4a687e50-e6b7-41df-93b1-6fed7db10f60,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0008,gsecdump,tool--b07c2c47-fefb-4d7c-a69e-6a3296171f54,software,(Citation: Mandiant APT1),relationship--6e366a30-cf75-4a47-855f-91a006014ada,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0100,ipconfig,tool--294e2560-bd48-44b2-9da2-833b5588ad11,software,(Citation: Mandiant APT1),relationship--13984eec-6c33-4bab-a22c-5c061ddd6e44,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0006,pwdump,tool--9de2308e-7bed-43a3-8e58-f194b3586700,software,(Citation: Mandiant APT1),relationship--de979692-5ca5-4874-bfc8-91cea8697ef1,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0123,xCmd,tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b,software,(Citation: Mandiant APT1 Appendix),relationship--cf467be5-c162-4763-801b-32cb57a514ef,31 May 2017,20 August 2019
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,S0040,HTRAN,tool--d5e96a35-7b0b-4c6a-9533-d63ecbda563e,software,(Citation: Trend Micro IXESHE 2012),relationship--f42a5342-c28d-46ad-bbd7-3123da43ff86,07 June 2019,10 June 2019
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,S0015,Ixeshe,malware--8beac7c2-48d2-4cd9-9b15-6c452f38ac06,software,(Citation: Moran 2013)(Citation: Moran 2014),relationship--762f85a3-0120-4b09-aafd-3f460764e85f,31 May 2017,10 June 2019
G0005,APT12,intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,group,uses,S0003,RIPTIDE,malware--ad4f146f-e3ec-444a-ba71-24bffd7f0f8e,software,(Citation: Moran 2014),relationship--d242dc5a-3969-498c-b7eb-5d850e7d384d,31 May 2017,10 June 2019
G0023,APT16,intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,group,uses,S0064,ELMER,malware--3cab1b76-2f40-4cd0-8d2c-7ed16eeb909c,software,(Citation: FireEye EPS Awakens Part 2),relationship--bcd1d261-0228-468f-b02b-52e6784e2491,31 May 2017,26 July 2022
G0025,APT17,intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,group,uses,S0069,BLACKCOFFEE,malware--d69c8146-ab35-4d50-8382-6fc80e641d43,software,(Citation: FireEye APT17),relationship--a33388b7-3803-442f-8e31-511eef055470,31 May 2017,22 March 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,S0070,HTTPBrowser,malware--e066bf86-9cfb-407a-9d25-26fd5d91e360,software,(Citation: RSA2017 Detect and Respond Adair),relationship--e9612cb1-79a5-4987-aa83-b84aa7fa050f,31 May 2017,16 June 2021
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,S0124,Pisloader,malware--b96680d1-5eb3-4f07-b95c-00ab904ac236,software,(Citation: Palo Alto DNS Requests),relationship--95842c88-c596-44c7-a16e-40d98e2457cc,31 May 2017,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,S0106,cmd,tool--bba595da-b73a-4354-aa6c-224d4de7cb4e,software,(Citation: Dell Lateral Movement),relationship--89c6bcd7-e330-4902-8296-0918923d6573,31 May 2017,30 May 2019
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,S0032,gh0st RAT,malware--88c621a7-aef9-4ae0-94e3-1fc87123eb24,software,(Citation: RSA2017 Detect and Respond Adair),relationship--80c071f7-123e-468f-800d-726a1d3e4144,31 May 2017,16 June 2021
G0026,APT18,intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648,group,uses,S0071,hcdLoader,malware--9e2bba94-950b-4fcf-8070-cb3f816c5f4e,software,(Citation: Dell Lateral Movement)(Citation: ThreatStream Evasion Analysis),relationship--7dc4c8b9-a380-4dc0-9973-a8a2f8d0175c,31 May 2017,30 May 2019
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,S0154,Cobalt Strike,malware--a7881f21-e978-4fe4-af56-92c9416a2616,software,(Citation: FireEye APT19),relationship--5f830006-234e-44d1-9441-1aca7990006c,06 November 2020,06 November 2020
G0073,APT19,intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,group,uses,S0363,Empire,tool--3433a9e8-1c47-4320-b9bf-ed449061d1c3,software,(Citation: NCSC Joint Report Public Tools),relationship--89b157e1-3972-421e-87c9-f9e83b26ec90,12 March 2019,25 January 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0045,ADVSTORESHELL,malware--fb575479-14ef-41e9-bfab-0b7cf10bec73,software,(Citation: Kaspersky Sofacy)(Citation: Securelist Sofacy Feb 2018),relationship--5e9bee3d-ea86-4715-9fdc-199e10ef2161,31 May 2017,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0023,CHOPSTICK,malware--ccd61dfc-b03f-4689-8c18-7c97eab08472,software,(Citation: FireEye APT28)(Citation: Kaspersky Sofacy)(Citation: Securelist Sofacy Feb 2018)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--24013fde-5ce7-4995-9d9f-d2ced31b9d9a,31 May 2017,26 March 2023
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0137,CORESHELL,malware--60c18d06-7b91-4742-bae3-647845cd9d81,software,(Citation: FireEye APT28)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--ba64e6d1-4deb-440a-a4eb-1c3476b6fb47,31 May 2017,26 March 2023
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0351,Cannon,malware--d20b397a-ea47-48a9-b503-2e2a3551e11d,software,(Citation: Unit42 Cannon Nov 2018)(Citation: Unit42 Sofacy Dec 2018),relationship--5f402d02-94f9-49de-b097-2d89c59de394,30 January 2019,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0243,DealersChoice,malware--8f460983-1bbb-4e7e-8094-f0b5e720f658,software,(Citation: Sofacy DealersChoice)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--5377a247-28a9-4dc1-957f-78980504a5a3,17 October 2018,28 February 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0134,Downdelph,malware--08d20cd2-f084-45ee-8558-fa6ef5a18519,software,(Citation: ESET Sednit Part 3)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--c84b3859-ba18-45bd-8f56-baa045ce8eab,09 September 2019,28 February 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0502,Drovorub,malware--99164b38-1775-40bc-b77b-a2373b14540a,software,(Citation: NSA/FBI Drovorub August 2020),relationship--949dba3e-e6c9-48a5-8bf6-a2a912c7c3e3,25 August 2020,18 September 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0193,Forfiles,tool--90ec2b22-7061-4469-b539-0989ec4f96c2,software,(Citation: Überwachung APT28 Forfiles June 2015),relationship--50a57369-6d3e-44bf-814f-7c9242e56d75,18 April 2018,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0410,Fysbis,malware--50d6688b-0985-4f3d-8cbe-0c796b30703b,software,(Citation: Fysbis Palo Alto Analysis),relationship--f755463c-28a6-4e47-8b13-1028806f5032,18 September 2019,18 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0135,HIDEDRV,malware--e669bb87-f773-4c7b-bfcc-a9ffebfdd8d4,software,(Citation: ESET Sednit Part 3),relationship--720c211e-2219-496d-8a34-c3f37dfbe5bf,31 May 2017,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0044,JHUHUGIT,malware--8ae43c46-57ef-47d5-a77a-eebb35628db2,software,(Citation: FireEye APT28 January 2017)(Citation: Kaspersky Sofacy)(Citation: Securelist Sofacy Feb 2018)(Citation: US District Court Indictment GRU Oct 2018)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--75d04175-c43d-46cd-be08-5f4c91f767ed,31 May 2017,28 February 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0250,Koadic,tool--c8655260-9f4b-44e3-85e1-6538a5f6e4f4,software,(Citation: Palo Alto Sofacy 06-2018),relationship--7a3963b8-3ffd-41a9-bd03-57cba4f03882,17 October 2018,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0162,Komplex,malware--f108215f-3487-489d-be8b-80e346d32518,software,(Citation: XAgentOSX 2017)(Citation: Sofacy Komplex Trojan)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--63841959-afe2-4cb0-a93e-d407eb1b8d66,14 December 2017,28 February 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0397,LoJax,malware--b865dded-0553-4962-a44b-6fe7863effed,software,(Citation: ESET LoJax Sept 2018),relationship--fb28df7f-ccc1-469d-8a91-e82b9b6006c1,02 July 2019,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0002,Mimikatz,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,software,(Citation: Kaspersky Sofacy),relationship--5cfcbf60-454a-4673-aa93-9020d04efab7,31 May 2017,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0039,Net,tool--03342581-f790-4f03-ba41-e82e67392e23,software,(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),relationship--4a1336e8-9abb-4217-8a90-78ce55325aaa,27 July 2021,27 July 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0138,OLDBAIT,malware--2dd34b01-6110-4aac-835d-b5e7b936b0be,software,(Citation: FireEye APT28),relationship--bceada36-e6ba-49b9-b9f8-99e37e6cbf9e,31 May 2017,26 March 2023
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0174,Responder,tool--a1dd2dbd-1550-44bf-abcc-1a4c52e97719,software,(Citation: FireEye APT28 Hospitality Aug 2017)(Citation: US District Court Indictment GRU Oct 2018) ,relationship--89363ca8-1cf3-4c40-972c-6e2787a05b43,16 January 2018,06 October 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0183,Tor,tool--ed7d0cb1-87a6-43b4-9f46-ef1bc56d6c68,software,(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),relationship--b997c08e-f005-432f-8030-1903d18eec51,31 August 2021,31 August 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0136,USBStealer,malware--af2ad3b7-ab6a-4807-91fd-51bcaff9acbb,software,(Citation: ESET Sednit Part 3),relationship--d26b3aeb-972f-471e-ab59-dc1ee2aa532e,31 May 2017,09 September 2019
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0645,Wevtutil,tool--f91162cc-1686-4ff8-8115-bf3f61a4cc7a,software,(Citation: Crowdstrike DNC June 2016),relationship--0e8f455a-5773-483a-8636-045774732bef,21 September 2021,21 September 2021
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0191,Winexe,tool--96fd6cc4-a693-4118-83ec-619e5352d07d,software,(Citation: Überwachung APT28 Forfiles June 2015)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--80b30059-28a5-4eaa-9d7c-193875bbccd0,18 April 2018,28 February 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0161,XAgentOSX,malware--59a97b15-8189-4d51-9404-e1ce8ea4a069,software,(Citation: XAgentOSX 2017)(Citation: Symantec APT28 Oct 2018)(Citation: US District Court Indictment GRU Oct 2018),relationship--cfe2a359-bbab-4520-bdd7-b2d6abf742cc,14 December 2017,01 October 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0117,XTunnel,malware--7343e208-7cab-45f2-a47b-41ba5e2f0fab,software,(Citation: ESET Sednit Part 3)(Citation: Symantec APT28 Oct 2018)(Citation: US District Court Indictment GRU Oct 2018)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),relationship--92c68b65-18b8-44e9-a368-692048ba9611,31 May 2017,09 March 2022
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0251,Zebrocy,malware--a4f57468-fbd5-49e4-8476-52088220b92d,software,(Citation: Palo Alto Sofacy 06-2018)(Citation: Unit42 Cannon Nov 2018)(Citation: Securelist Sofacy Feb 2018)(Citation: Unit42 Sofacy Dec 2018)(Citation: ESET Zebrocy May 2019),relationship--d2fa6899-2529-45b1-86bf-f2c5475a2ea6,17 October 2018,20 March 2020
G0007,APT28,intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,group,uses,S0160,certutil,tool--0a68f1f1-da74-4d28-8d9a-696c082706cc,software,(Citation: Unit 42 Sofacy Feb 2018)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),relationship--1c8634d8-21a1-46a5-a1fd-eaaff6eed7a6,18 April 2018,27 July 2021
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0677,AADInternals,tool--2c5281dd-b5fd-4531-8aea-c1bf8a0f8756,software,(Citation: MSTIC Nobelium Oct 2021),relationship--70ceb05c-ed86-4b51-bde0-2455662c30b7,01 February 2022,13 April 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0552,AdFind,tool--f59508a6-3615-47c3-b493-6676e1a39a87,software,(Citation: Microsoft Analyzing Solorigate Dec 2020)(Citation: CrowdStrike StellarParticle January 2022)(Citation: ESET T3 Threat Report 2021),relationship--b22b0a6c-5960-4232-9fb6-bae84fcc07ca,16 April 2021,10 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0521,BloodHound,tool--066b057c-944e-4cfc-b654-e3dfba04b926,software,(Citation: ESET T3 Threat Report 2021),relationship--41760330-2558-4781-bc4e-1e4c7a1f5f92,10 February 2022,10 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0635,BoomBox,malware--c26f1c05-b861-4970-94dc-2f7f921a3074,software,(Citation: MSTIC Nobelium Toolset May 2021),relationship--e0ce9848-5b27-4fb5-ba67-0fef8cd0fe0f,04 August 2021,04 August 2021
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0054,CloudDuke,malware--cbf646f1-7db5-4dc6-808b-0094313949df,software,(Citation: F-Secure The Dukes),relationship--a7180b8e-c580-49ab-bbfb-e56e8ab48823,31 May 2017,25 July 2019
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0154,Cobalt Strike,malware--a7881f21-e978-4fe4-af56-92c9416a2616,software,(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: MSTIC NOBELIUM May 2021)(Citation: MSTIC Nobelium Toolset May 2021)(Citation: SentinelOne NobleBaron June 2021)(Citation: ESET T3 Threat Report 2021)(Citation: Secureworks IRON RITUAL Profile)(Citation: Secureworks IRON RITUAL USAID Phish May 2021),relationship--d9beae20-bd32-4141-95ff-053cf46e8210,06 November 2020,20 March 2023
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0050,CosmicDuke,malware--2eb9b131-d333-4a48-9eb4-d8dec46c19ee,software,(Citation: F-Secure The Dukes)(Citation: Secureworks IRON HEMLOCK Profile),relationship--eeae630c-0c58-4397-90fb-05f5b60b720f,31 May 2017,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0046,CozyCar,malware--e6ef745b-077f-42e1-a37d-29eecff9c754,software,(Citation: F-Secure The Dukes)(Citation: Secureworks IRON HEMLOCK Profile),relationship--0585e082-8f8e-4162-b4a8-3c1cef02f7e3,31 May 2017,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0634,EnvyScout,malware--2f8229dc-da94-41c6-89ba-b5b6c32f6b7d,software,(Citation: MSTIC Nobelium Toolset May 2021),relationship--316bb062-76c2-4894-9f4e-57fa0938e6a4,04 August 2021,04 August 2021
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0512,FatDuke,malware--54a01db0-9fab-4d5f-8209-53cef8425f4a,software,(Citation: ESET Dukes October 2019)(Citation: Secureworks IRON HEMLOCK Profile),relationship--27785084-70d5-4b4d-b8d0-9ab250ade9f5,20 July 2021,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0661,FoggyWeb,malware--72911fe3-f085-40f7-b4f2-f25a4221fe44,software,(Citation: MSTIC FoggyWeb September 2021),relationship--517735b6-69f4-4188-8fef-45981220e4bc,17 November 2021,17 November 2021
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0049,GeminiDuke,malware--199463de-d9be-46d6-bb41-07234c1dd5a6,software,(Citation: F-Secure The Dukes),relationship--3ae8d262-d2f8-4fa5-adb4-e379d43b9c37,31 May 2017,25 July 2019
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0597,GoldFinder,malware--b7010785-699f-412f-ba49-524da6033c76,software,(Citation: MSTIC NOBELIUM Mar 2021)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: MSTIC Nobelium Toolset May 2021)(Citation: Secureworks IRON RITUAL Profile),relationship--b08841ec-c80e-409e-90d1-cfb1cb191da4,16 April 2021,24 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0588,GoldMax,malware--5c747acd-47f0-4c5a-b9e5-213541fc01e0,software,(Citation: MSTIC NOBELIUM Mar 2021)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: MSTIC NOBELIUM May 2021)(Citation: MSTIC Nobelium Toolset May 2021)(Citation: Secureworks IRON RITUAL Profile),relationship--48c43e15-210c-491f-9198-928b583470d9,16 April 2021,24 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0037,HAMMERTOSS,malware--2daa14d6-cbf3-4308-bb8e-213c324a08e4,software,(Citation: F-Secure The Dukes)(Citation: Secureworks IRON HEMLOCK Profile),relationship--df9beafa-be6b-4e61-9a27-dfb9ec7d6aa3,31 May 2017,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0357,Impacket,tool--26c87906-d750-42c5-946c-d4162c73fc7b,software,(Citation: Mandiant APT29 Eye Spy Email Nov 22),relationship--d430bf8d-cbe9-4f0d-8040-7f7d66fcc204,17 August 2023,17 August 2023
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0513,LiteDuke,malware--95e2cbae-d82c-4f7b-b63c-16462015d35d,software,(Citation: ESET Dukes October 2019)(Citation: Secureworks IRON HEMLOCK Profile),relationship--fd419d0b-d019-47f2-83a5-a8459ee9ed4b,04 October 2021,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0002,Mimikatz,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,software,(Citation: F-Secure The Dukes)(Citation: Microsoft 365 Defender Solorigate)(Citation: CrowdStrike StellarParticle January 2022),relationship--067814b5-aa57-45e0-9bdf-5536b077c224,31 May 2017,09 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0051,MiniDuke,malware--5e7ef1dc-7fb6-4913-ac75-e06113b59e0c,software,(Citation: F-Secure The Dukes)(Citation: ESET Dukes October 2019)(Citation: Secureworks IRON HEMLOCK Profile),relationship--7243a679-467e-4c31-b413-547016b9c3ad,31 May 2017,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0637,NativeZone,malware--b4783be3-35d9-4a56-ac8d-1f3e1c9d9a84,software,(Citation: SentinelOne NobleBaron June 2021),relationship--bda1324a-9c51-4d91-bf21-39209633b985,12 October 2021,12 October 2021
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0039,Net,tool--03342581-f790-4f03-ba41-e82e67392e23,software,(Citation: CISA SoreFang July 2016),relationship--db80dd29-d335-48b9-853e-5f15e576acb3,30 September 2020,30 September 2020
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0052,OnionDuke,malware--b136d088-a829-432c-ac26-5529c26d4c7e,software,(Citation: F-Secure The Dukes)(Citation: ESET Dukes October 2019)(Citation: Secureworks IRON HEMLOCK Profile),relationship--1593ae11-0bb5-4e16-804a-1383eb0cced5,31 May 2017,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0150,POSHSPY,malware--5e595477-2e78-4ce7-ae42-e0b059b17808,software,(Citation: FireEye POSHSPY April 2017),relationship--2db640ab-413b-4c49-9842-3bf190c5e184,14 December 2017,25 July 2019
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0048,PinchDuke,malware--ae9d818d-95d0-41da-b045-9cabea1ca164,software,(Citation: F-Secure The Dukes),relationship--02462741-4148-48b3-881b-1b813ce62fcc,31 May 2017,25 July 2019
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0518,PolyglotDuke,malware--3d57dcc4-be99-4613-9482-d5218f5ec13e,software,(Citation: ESET Dukes October 2019)(Citation: Secureworks IRON HEMLOCK Profile),relationship--6aaca244-805c-4aba-b923-40407b034662,23 September 2020,22 February 2022
G0016,APT29,intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,group,uses,S0139,PowerDuke,malware--00c3bfcb-99bd-4767-8c03-b08f585f5c8a,software,(Citation: Volexity PowerDuke November 2016),relationship--da3a85c7-7590-48b1-8a22-2f8b00060f83,31 May 2017,25 July 2019
